"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 01 10:12:14 GMT 2025","Tue Apr 01 10:12:14 GMT 2025","126","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Tue Apr 01 10:12:13 GMT 2025","Tue Apr 01 10:12:13 GMT 2025","236","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameNameTest","User should not be able to create two projects with the same name",""
"passed","Tue Apr 01 10:12:11 GMT 2025","Tue Apr 01 10:12:11 GMT 2025","241","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Tue Apr 01 10:12:10 GMT 2025","Tue Apr 01 10:12:10 GMT 2025","63","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unathorizedUserShouldntBeAbleCreateProjectTest","Unathorized user should not be able to create project if there are no admins",""
"passed","Tue Apr 01 10:12:14 GMT 2025","Tue Apr 01 10:12:14 GMT 2025","141","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Tue Apr 01 10:12:13 GMT 2025","Tue Apr 01 10:12:13 GMT 2025","148","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Tue Apr 01 10:12:13 GMT 2025","Tue Apr 01 10:12:13 GMT 2025","106","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidRolesTest","User should not be able to create project with invalid roles",""
"passed","Tue Apr 01 10:12:08 GMT 2025","Tue Apr 01 10:12:08 GMT 2025","347","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","userShouldNotBeAbleSearchProjectByNonExistentNameTest","User should not be able to search project by non-existent Name",""
"passed","Tue Apr 01 10:11:45 GMT 2025","Tue Apr 01 10:11:45 GMT 2025","303","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Tue Apr 01 10:12:10 GMT 2025","Tue Apr 01 10:12:10 GMT 2025","474","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Tue Apr 01 10:12:11 GMT 2025","Tue Apr 01 10:12:11 GMT 2025","118","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Tue Apr 01 10:12:19 GMT 2025","Tue Apr 01 10:12:25 GMT 2025","6035","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithHelloWorldTest","User should be able to start build (without MockServer) and run echo 'Hello, world!'",""
"passed","Tue Apr 01 10:12:14 GMT 2025","Tue Apr 01 10:12:14 GMT 2025","79","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Tue Apr 01 10:12:12 GMT 2025","Tue Apr 01 10:12:12 GMT 2025","176","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Tue Apr 01 10:12:15 GMT 2025","Tue Apr 01 10:12:15 GMT 2025","104","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Tue Apr 01 10:12:09 GMT 2025","Tue Apr 01 10:12:09 GMT 2025","484","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeTest","Project admin should be able to create build type for their project",""
