"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Mar 31 21:21:09 GMT 2025","Mon Mar 31 21:21:09 GMT 2025","126","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:14 GMT 2025","Mon Mar 31 21:21:24 GMT 2025","10327","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildTest","com.example.teamcity.api.StartBuildTest","userStartsBuildWithHelloWorldTest","User should be able to start build (without MockServer) and run echo 'Hello, world!'",""
"passed","Mon Mar 31 21:21:04 GMT 2025","Mon Mar 31 21:21:04 GMT 2025","67","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unathorizedUserShouldntBeAbleCreateProjectTest","Unathorized user should not be able to create project if there are no admins",""
"passed","Mon Mar 31 21:21:02 GMT 2025","Mon Mar 31 21:21:03 GMT 2025","407","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","projectAdminCreatesBuildTypeForAnotherUserProjectTest","Project admin should not be able to create build type for not their project",""
"passed","Mon Mar 31 21:21:05 GMT 2025","Mon Mar 31 21:21:05 GMT 2025","228","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Mon Mar 31 21:21:08 GMT 2025","Mon Mar 31 21:21:08 GMT 2025","135","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:06 GMT 2025","Mon Mar 31 21:21:06 GMT 2025","179","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Mon Mar 31 21:21:00 GMT 2025","Mon Mar 31 21:21:01 GMT 2025","1277","Surefire suite","Surefire test","com.example.teamcity.api.ProjectSearchTest","com.example.teamcity.api.ProjectSearchTest","projectAdminSearchesProjectWithoutAccessTest","Project admin can find project created by Super Admin ",""
"passed","Mon Mar 31 21:21:08 GMT 2025","Mon Mar 31 21:21:08 GMT 2025","90","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:08 GMT 2025","Mon Mar 31 21:21:09 GMT 2025","201","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:08 GMT 2025","Mon Mar 31 21:21:08 GMT 2025","293","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameNameTest","User should not be able to create two projects with the same name",""
"passed","Mon Mar 31 21:21:04 GMT 2025","Mon Mar 31 21:21:04 GMT 2025","307","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesTwoBuildTypesWithTheSameIdTest","User should not be able to create two build types with the same id",""
"passed","Mon Mar 31 21:20:40 GMT 2025","Mon Mar 31 21:20:41 GMT 2025","532","Surefire suite","Surefire test","com.example.teamcity.api.SetupTeamcityAgentTest","com.example.teamcity.api.SetupTeamcityAgentTest","setupTeamCityAgentTest","setupTeamCityAgentTest",""
"passed","Mon Mar 31 21:21:03 GMT 2025","Mon Mar 31 21:21:04 GMT 2025","287","Surefire suite","Surefire test","com.example.teamcity.api.BuildTypeTest","com.example.teamcity.api.BuildTypeTest","userCreatesBuildTypeTest","User should be able to create build type",""
"passed","Mon Mar 31 21:21:09 GMT 2025","Mon Mar 31 21:21:09 GMT 2025","115","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:09 GMT 2025","Mon Mar 31 21:21:09 GMT 2025","119","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:10 GMT 2025","Mon Mar 31 21:21:10 GMT 2025","244","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:07 GMT 2025","Mon Mar 31 21:21:07 GMT 2025","103","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesProjectWithInvalidRolesTest","User should not be able to create project with invalid roles",""
"passed","Mon Mar 31 21:21:14 GMT 2025","Mon Mar 31 21:21:14 GMT 2025","52","Surefire suite","Surefire test","com.example.teamcity.api.StartBuildWiremockTest","com.example.teamcity.api.StartBuildWiremockTest","userStartsBuildWithMockServerTest","User should be able to start build (with MockServer)",""
"passed","Mon Mar 31 21:21:06 GMT 2025","Mon Mar 31 21:21:06 GMT 2025","176","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
"passed","Mon Mar 31 21:21:09 GMT 2025","Mon Mar 31 21:21:09 GMT 2025","91","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userShouldNotCreateProjectWithInvalidDataTest","User should not be able to create project with invalid data",""
"passed","Mon Mar 31 21:21:07 GMT 2025","Mon Mar 31 21:21:07 GMT 2025","235","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreatesTwoProjectsWithTheSameIdTest","User should not be able to create two projects with the same id",""
"passed","Mon Mar 31 21:21:05 GMT 2025","Mon Mar 31 21:21:05 GMT 2025","156","Surefire suite","Surefire test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","userCreateProjectTest","User should be able to create project",""
